comment,label,rate,
Bức xúc mỗi việc bọn shoppe lm ăn vớ vẩn vl .,NEU,3,
Rất đáng tiền.,POS,5,
Sp đẹp và chất lượng.,POS,5,
Nhưng k nha mn áo đẹp lắm.,POS,5,
Mua 2 lần rồi khô gà ok lắm.,POS,5,
Vải nóng.,NEG,2,
Sách chuẩn.,POS,5,
Thanks.,POS,4,
Chất vải không hợp với giá tiền.,NEG,1,
Chất lượng sản phẩm tuyệt vời.,POS,5,
chất lượng sản phẩm quá tuyệt vời.,POS,4,
Mọi người yên tâm order !,POS,4,
K vua y ao k dug size.,NEU,3,
Có lỗi 1 chút.,NEU,3,
"Quần trắng vải ok, đen thì thô cứng, quần trắng bị rách ngay ống quần, nhưng lỡ cắt mạc rồi nên cũng chả trả dc.áo ôm nhưng mặc thùng thình, ko nên mua áo.",NEG,2,
Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,4,
Chất lượng sản phẩm rất kém.,NEG,1,
"Bạn nào cao 1m65 thì sinh ra để dành cho nó, mình 1m61 hơi dài 1 chút.",NEU,3,
"Shop phản hồi nhanh, tư vấn nhiệt tình, mình nhận hàng vừa vặn form người, đúng size.",POS,4,
Chưa dùng dây đai rụng lả tả có 3 rụng 1.,NEG,1,
Vải dày đẹp.,POS,5,
Đặt đen giao xanh.,NEG,2,
Ủng hộ mẹ bầu mua vài bộ mặc thoải mái!,POS,5,
Đẹp lại còn chân nữa đã vậy lại còn rẻ...,POS,5,
Hương thơm dễ chịu.,POS,5,
Không được như mình mong đợi.,NEG,2,
"Áo đẹp , chất áo rất đẹp ạ Đóng gói sản phẩm rất đẹp và chắc chắn.",POS,5,
Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt.,POS,5,
"Vải quần đẹp,mát,82kg vẫn mặc vừa, mình sẽ mua thêm vài hộp nua.",POS,5,
Đóng gói sản phẩm rất đẹp và chắcchắnÁo xanhgiaonhầm màukhông'giống hình.,NEG,2,
"Son chuẩn auth, màu lên rất đẹp ạ ❤️.",POS,5,
Giao áo khác.,NEG,2,
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.,POS,5,
Hài lòng ạ!!,POS,4,
"Sách đẹp, màu tặng kèm cũng đẹp.",POS,5,
Mua ba mẫu đều mặc vừa và rất ok.,POS,4,
Hơn cả mong đợi. 😍😍😍.,POS,5,
"vải xấu,tấm lưới bên trong lòi ra ngoài mặc k đc nên phảu cắt.",NEG,1,
Áo thun vải oke.,NEU,3,
Áo được nhưng hơi mỏng.,NEU,3,
Hơi mỏng.,NEU,3,
"Chất lượng sản phẩm tốt, Thời gian giao hàng nhanh.",POS,5,
Không dùng được túi shop ạ.,NEG,1,
Dây dán sơ sài đoạn gập.,NEG,2,
Đây là đầu chải dưỡng mi đây ah tới cạn lời luôn ah .khô cong ah và mùi rất khủng khiếp.,NEG,1,
Chất lượng sản phẩm tuyệt vời.,POS,5,
Chất lượng sản phẩm tạm được nghe ko được tốt như mô tả lần sau đừng mô tả thái quá lên như thế.,NEG,2,
Chất vải đc.,POS,4,
Chất lượng hàng ok hơn mong đợi.,POS,4,
Lần sau mình sẽ ủng hộ shop thêm nữa.,NEU,3,
"đẹp nhưng hơi ngắn, chuẩn phom rộng, tóm lại rất xứng 5 sao.",POS,4,
Góp ý với shop đóng hộp carton thì tốt hơn.,NEU,3,
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời.,POS,5,
"Mình gỡ tấm lót ra và mặc như thể áo lót dành cho áo mỏng thì rất đẹp, nghĩa là bên trong vẫn mặc thêm áo ngực, yên tâm là không bị nóng đâu.",POS,5,
Không đẹp như hình.,NEG,2,
"Áo đẹp, form chuẩn xinh.",POS,5,
Vay ko giong hinh giay keo bi dung kho keo ban lung ko om lung Chất lượng sản phẩm kém.,NEG,1,
Đóng gói sản phẩm tạm được Shop phục vụ tạm được.,NEU,3,
Quần giống hình nè nhưng mỗi tội giao hàng hơi bị lâu th.,POS,4,
"Đặt 2 bộ màu đen mà 1 bộ đen, 1 bộ áo đen quần xám.",NEG,2,
"Áo size S nhưng cũng hơi to, dành cho ng trên 46kg mặc đẹp hơn.",POS,4,
Y chang hình.,POS,4,
Đây là lần thứ 2 mua bên shop.,POS,5,
"Áo rất đẹp, sẽ ủng hộ shop dài lâu ❤️💯.",POS,5,
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn .,POS,5,
"Màu áo bên ngoài đẹp hơn trong ảnh nha, kiểu dáng đúng như shop đăng lun, rất rất ưng.",POS,5,
Hàng đẹp!,POS,5,
Shop phục vụ rất tốt.,POS,5,
5 sao vì chất lượng hàng tốt.,POS,5,
Nhắn tin phản ánh shop onl nhưng ko trả lời.,NEG,2,
Làm ăn như shit ý .,NEG,2,
Hàng đẹp lắm shop ơi!!!,POS,5,
Ô số với giá.,NEU,3,
K như hình lắm nhưng chấp nhận đc.,NEU,3,
Tóm lại thank shop nhiều!,POS,5,
"Thực sự là bạn nào phải rất rất gầy mới mặc được đồ của shop :( Mình cao 1m62, nặng 50kg, k hề béo mà mặc chật ních không chui nổi tay qua :((.",NEG,2,
Chất lượng sản phẩm tuyệt vời.,POS,5,
Hơi mỏng.,NEG,2,
Tem còn bị dán lệch.,NEU,3,
"Máy đang chạy win7, cài drive k dc, phải cài lại win10 mới cài drive dc,.",NEU,3,
"Sp y hình mẫu, chất vải ổn, Shop phục vụ rất tốt.",POS,4,
"Giao hàng rất nhanh, đóng gói sản phẩm cẩn thận.",POS,5,
Chất vải đẹp.,POS,4,
Chất vải khác với ảnh.,NEG,2,
Đây là màu hồng.,NEG,2,
Áo đẹp nhưng nhỏ hơn size 34 mình thường mặc nhiều.,POS,4,
lần sau chú ý hơn.,NEU,3,
Thời gian giao hàng rất nhanh Rất đáng tiền Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời <3 <3.,POS,5,
Bóng hơi bé và mềm.,NEU,3,
Có khuyến mại mà không thấy kèm theo.,NEG,2,
Giao hàng 4 giờ quá nhanh.,NEU,3,
Shop phục vụ rất tốt Nhưng chất vải nóng thật.,NEG,2,
Đẹp quá ạ.,POS,5,
Áo hơi rông.,NEU,3,
Thất vọng.,NEG,1,
Chất vải hơi nóng.,NEU,3,
Lần sau em nhứt định sẽ mua thêm 1 đôi nữa ở shop !,POS,4,
Rất đáng tiền.,POS,5,
Không đáng tiền.,NEG,1,
Áo đẹp.,POS,4,
đồ hơi chật 😭 nhưng vải ok.,NEU,3,
Minh mua ve cung de ko.,NEU,3,
Chất lượng sản phẩm tốt.,POS,5,
"Chất liệu k tốt, size, form nhỏ, co giãn k tốt, mặc thử đã bục chỉ luôn rồiiiiii.",NEG,2,
Mình phải nhồi thêm vào cho hồi dáng túi.,NEG,2,
Hàng y ảnh.,POS,5,
Giao hàng nhanh.,POS,5,
Áo đẹp ôm ngực.,POS,5,
Đóng gói sơ sài Chất lượng sản phẩm tuyệt vời.,POS,4,
"Đánh khô môi, mùi son hơi hắc, shop độn giá từ 110k lên 200k để giảm giá.",NEG,2,
chúc shop luôn đắt hàng nhé!,POS,4,
Chất lượng sản phẩm tuyệt vời😍😍😍.,POS,5,
"Áo đẹp , chất đẹp nhưng hơi móng xíu .",POS,4,
Nhiều nilon.,NEG,2,
Ok lắm.,POS,5,
Hàng Ok.,POS,4,
Cho 5 sao vì chất lượng sp và dv.,POS,5,
Mình 41kg mà mặc áo còn bó.,NEU,3,
"Đóng gói sản phẩm rất đẹp và chắc chắn, Chất lượng sản phẩm tốt, Shop phục vụ rất tốt!!",POS,5,
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.Shop tl tn nhanh, nhiệt tình tư vấn và hỗ trợ❤️ Sẽ ủng hộ nhiều nhiều.",POS,5,
Hàng nhìn không cứng cáp như hình chụp sản phẩm.,NEG,2,
Hang đẹp tiệt voi.,POS,5,
SAu khi nhận hàng shop còn nt hỏi ý kiến. 😊😊 yêu cái shop này mất thôi.,POS,4,
Rất đáng tiền.,POS,5,
Thời gian giao hàng rất nhanh.,POS,5,
Tôi đặt hàng từ 29/10/2018 đến nay (05/11) chưa nhận được hàng mà hệ thống đã báo giao thành công??????,NEU,3,
Tôi sẽ đặt thêm 1 cái nữa.,POS,5,
Khi dùng thơm và mềm môi.,POS,5,
Vẫn không hoàn lại 40k từ đơn trước hết hàng không báo.,NEG,2,
Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời.,POS,5,
Thời gian giao hàng rất nhanh.,POS,5,
"Sp rất ok, còn lại chờ vào tgian xem máy thế nào.",POS,4,
Áo và chất đều oke.,POS,5,
Mình m50 46kg mặc ống quần hơi rộng nhưng vải đẹp là ưng rồi ❤️.,POS,4,
"Chất lượng sản phẩm tuyệt vời,rất xinh luôn.",POS,5,
Shop giao hàng nhanh.,POS,4,
"quần quá dài và mỏng,không giống hình.",NEG,2,
Quá thất vọng.,NEG,1,
Hơi dài.,NEU,3,
Áo đẹp ❤ đóng gói chắc chắn ❤.,POS,4,
Sr shop vì feedback nhìn hơi tơi tả... :)).,POS,4,
Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,
Mua 4 cái rồi quá ưng 😘.,POS,5,
Áo đẹp nhưng có điều tay hơi ngắn so với hình.,POS,4,
"Sp rất ok, mk rất ưng.",POS,5,
"Ai mà đang chần chừ về chất lượng thì không cần lo mua đâu nhé, cứ mua ngay đi kẻo hết đấy ạ. ❤.",POS,5,
Quần ko có dây thun điều chỉnh nên hơi bất tiện.,NEU,3,
Ngửi sặc mùi giống mấy cái son fake ở chợ.,NEG,1,
Hàng y hìn.,POS,4,
k thì coi như mất xèg nhu 🤔🤔.,NEU,3,
Son lên môi rất mịn và bám lâu.,POS,5,
"Giày đẹp nhưng phom rộng , khuyên mọi người nên chọn nhỏ hơn 1size, mua về không đi đc.",POS,4,
Hơi mặn.,NEG,2,
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.,POS,5,
Giao hàng nhanh.,NEU,3,
Giá cả chấp nhận được không giống hình và chất liệu với giá tạm ổn.,NEU,3,
Vải dày rất ok.,POS,5,
Ko trung thực.,NEG,1,
"Trước tiếc tiền mua cây trắng, rẻ được nửa nhưng phí tiền quá, chụp hình tự sướng thì ok,chứ làm tripod chân và gậy cong queo yếu.",NEG,2,
"Chất lượng sản phẩm tốt, áo hơi mỏng.",POS,4,
"Chất cotton tuyệt vời, lên dáng cũng đẹp tuyệt vời.",POS,5,
Nên mua.,POS,4,
Nhận đc hàng ok nhung mong shop chính lý nhét giây vào giấy cho khỏi méo mó tí tji ok.,POS,4,
Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt.,POS,5,
"Chị chủ cute, tư vấn nhiệt tình.",POS,4,
Chất lượng sản phẩm tuyệt vời !,POS,5,
Shop phục vụ rất kém Shop phục vụ rất kém Rất không đáng tiền.,NEG,1,
Vải thì tạm được .,POS,4,
áo đẹp đúng với giá Rất đáng tiền.,POS,5,
"Rẻ nhưng chất vải đẹp, form cũng đẹp, mình cao 1m6 49 kg, mặc hơi rộng nhưng vẫn ok.",POS,4,
Vải mịn.,POS,4,
"Chất lượng sản phẩm kém, miếng mút bên trong áo móp méo ko tròn quả dù đã cố gắng chỉnh cho vào nếp.",NEG,2,
Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,
Hihi mih mặc siZe s mới vừa mà do thấy 49kg lấy m nên về phải bớp lại hẵn 6 phân oaka.,POS,4,
"Lam on dong goi dang hoang mot ti, gi ma cai hop cung k co duoc dang hoang, sp thi ok.",POS,4,
Chất lượng sản phẩm tuyệt vời.,POS,5,
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.nhưng phom hơi to.bạn nào đặt thì lùi lại 1 size nhé.,POS,5,
Rất đáng tiền.,POS,5,
"Chất dày dặn, đẹp.",POS,4,
áo đẹp nhé các bạn. tuyệt luông.,POS,5,
Đóng gói cẩn thận.,NEU,3,
Áo sơ mi nữ rấtđẹp và cả quần jean nam Chất lượng sản phẩm tuyệt vời.,POS,5,
"Áo ok, form vừa không to lắm.",NEU,3,
Quần rất đẹp.,POS,5,
Áo nhũ ờ ngoài đẹp giống hình shop chụp.,POS,4,
"Hàng chất lượng, rất hài lòng.",POS,5,
"Thời gian giao hàng rất nhanh, chất vải phù hợp giá tiền.",POS,5,
Có điều đóng gói sp khi nhận lại bị rách để lộ bên trong.. 😊.,POS,4,
"Váy mỏng mát, ôm dễ chịu.",POS,5,
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt.,POS,5,
"Dễ thương, nhỏ gon, tự đổi màu đẹp.",POS,5,
Cảm ơn Shop nhiều!,POS,4,
Áo ok nhưng mũ hơi nhỏ.,NEU,3,
Tuyệt vời!,POS,5,
Nói chung là mk rất hài lòng nha.,POS,5,
Shop phục vụ rất tốt Rất đáng tiền .có kèm quà tặng 💋.,POS,5,
Mặc đẹp y hình nhưng hàng có vẻ hơi bẩn nên cho 3 sao.,POS,4,
"Dáng áo cũng đẹp lắm, tay áo hơi cộc.",POS,4,
bài học rút ra : ko có chuyện rẻ mà đẹp nha mấy ba mấy má.,NEG,2,
Áo đẹp giá mềm.,POS,4,
Kb sử dụng chống dính đc lâu k nhg nhìn hàng rất xinh =))).,POS,4,
Cảm ơn shop!,POS,4,
Nhận hàng thấy sáng suốt vl :v.,POS,5,
Shop giao hàng nhanh lắm ạ.,POS,4,
Sẽ ủng hộ shop tiếp 😊😊😊.,POS,4,
"Đúng chuẩn phông giấy, hài lòng mặc dù mỏng vì sh có miêu tả rõ ràng.",POS,4,
Size XL không vừa cho người 53kg như shop ghi đâu!,NEU,3,
😘😘😘 Shop phục vụ rất tốt.,POS,5,
BT minh mặc L hơi bó nhưng quan nay thì rộng lưng lắm.,NEU,3,
Áo dày đẹp.,POS,4,
Son xinh Shop gói hàng cẩn thận :)).,POS,4,
"Tuy nhiên, nắp túi của mình bị méo, nếu ai để ý kỹ thì sẽ nhận ra túi của mình không đều, còn nhìn sơ qua thì không sao, không đến nỗi quá mất thẩm mỹ.",NEU,3,
Cảm ơn shop nhiều.,NEU,3,
"Áo đẹp, rất thích.",POS,5,
Hàng giao hơi chậm nhưng đẹp.,POS,4,
Giao hàng chậm trể.,NEG,1,
Mà vải cũng y như vậy nè.,NEG,2,
Giày đẹp ghê ây.rất ưng.chúc shop làm ăn phát đạt.,POS,5,
From hơi nhỏ Chất lượng sản phẩm tạm được Thời gian giao hàng rất nhanh.,POS,4,
Áo chất khá oke tuy nhiên form dành cho các bạn 40kg.,POS,4,
Giày đẹp.,POS,4,
Vải mỏng quá nhưng màu thì rất đẹp y hình.,POS,4,
"Hộp đẹp, sản phẩm chất lượng.",POS,5,
hàng bt.,POS,4,
Mua ở ngoài chợ đắt hơn.,POS,4,
So với giá tiền thì phải nói là ngoài sự mong đợi!!!,POS,5,
"Áo đẹp, vải đẹp mặc rất mát.",POS,5,
vải quá mỏng .sản phẩm rất kém.,NEG,1,
Chất vải chán.,NEG,2,
Rất ưng ạ <3.,POS,5,
"Shop tư vấn nhiệt tình, sẽ ủng hộ shop dài dài ❤️❤️❤️.",NEU,3,
Hàng đẹp ak.,POS,4,
Áo dày dặn chất đẹp.,POS,5,
Hơi cộc so với mình Thời gian giao hàng rất nhanh.,POS,4,
Đóng gói cẩn thận.,POS,4,
Váy hơi ngắn lúc giơ tay.,NEU,3,
"Son lên màu yêu chết mất, mỗi cái k lì như m nghĩ, uống nước vài lần trôi sạch sẽ à 😂.",POS,4,
Thời gian giao hàng rất nhanh.,POS,5,
Sản phẩm rất tốt và đẹp giống hình :)).,POS,5,
Tốt vải OK.,POS,4,
"Tất dày dặn, hình sắc nét.",POS,5,
"Giao hàng nhanh chóng, Đóng gói sản phẩm rất đẹp và chắc chắn.",POS,5,
Chất lượng thì đc .,POS,4,
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Rất đáng tiền Thời gian giao hàng rất nhanh ❤️.,POS,5,
Giaoo hàng nhanh nữaa.,NEU,3,
"Mặc rất vừa, Có điều quai k tháo rời đc.",NEU,3,
Chất lượng sản phẩm tuyệt vời.,POS,5,
50 sao luôn.,POS,5,
Mình mặc quần trơn nhiều rồi giờ đổi sang hoa lá cành cho mới mẻ.,POS,4,
Đẹp n mỏng quá.,NEU,3,
"Shop nhiệt tình, dễ thương.",POS,4,
Hơi nhẹ.,NEU,3,
"Chất lượng kém vải cứng k mềm, đường may ẩu.",NEG,1,
Đây chỉ là góp ý và không nỡ để shop bị rate thấp nên vẫn cố cho 4 sao.,NEU,3,
Chấm 9/10.,POS,4,
Mẫu mã nhyw hình.,POS,5,
hang ko giong hinh.,NEG,2,
"Chất lượng sản phẩm tạm được,cổ áo ko giống hình,nhận áo hơi thất vọng,đường may sơ sài,so với giá áo chưa hợp lý,hi vọng shop nâng cao chất lượng tốt hơn.",NEG,2,
Mình sẽ ủng hộ shop lâu dài.,POS,4,
"Áo phom rất to và dài, Chất k dc đẹp lắm.",NEG,2,
Rất đáng tiền.,POS,5,
Áo hơi mỏng nhưng với giá tiền thì cũng khá xinh.,POS,4,
Hàng y như hình.,NEU,3,
Chất lượng sản phẩm tuyệt vời chất kiểu len trơn mình rất thik.,POS,5,
Áo đẹp lắm na.,POS,5,
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh ^-^.,POS,5,
"Chưa mang giày đã bị súc chỉ ,giày ưa nhìn, cũng tốt :))).",NEU,3,
Shop cho hỏi giờ máy bị lỗi thì bảo hành sao ạ.,POS,4,
Đóng gói sản phẩm rất đẹp.,POS,4,
Hơi chủ quan và thất vọng quá!,NEG,1,
"dây dài thòng mà k có chỗ rút dây như áo khác, mặc vô ngực ở trên áo thòng tít xuống rốn, vãi c.",NEG,1,
Chất lượng sản phẩm tuyệt vời nhưng logo đặt không được thẳng lắm.,POS,4,
"Đường may áo quá xấu, chất cứng, đường may ẩu.",NEG,1,
"Kiểu váy lỏng lẻo, cột vai, mặc khá nguy hiểm.",NEG,2,
Ưng ơi là ưng.,POS,5,
Shop phục vụ rất tốt.,POS,5,
"Rất đáng tiền, áo rất đẹp, chất vải mặc rất mát.",POS,5,
Hàng đẹp lắm shop ơi.,POS,5,
Tạm cho 5* Chất lượng thì chưa đánh giá dc.,POS,5,
Đóng gói sản phẩm rất đẹp và chắc chắn .Rất đáng tiền.,POS,5,
Bỏ Merries dùng Pampers thôi.,POS,4,
Nhưng vẫn đẹp.,POS,5,
Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng rất nhanh.,POS,4,
Shop cho hẳn mỗi áo 1 màu.,NEU,3,
Nhưng lớp trong áo cứng quá.,POS,4,
Chất lượng quá tuyệt vời shop giao nhiều màu e thích lắm hihi :3 chất ok thất cả đều ok.,POS,5,
Tạm được.,NEU,3,
Chúc shop cuối tuần vui vẻ : )).,POS,4,
Sao.,NEU,3,
Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,
"Rất đáng tiền,hàng ok lắm shop..sẽ tiếp tục ủng hộ shop.",POS,5,
Chất lượng sản phẩm tuyệt vời!,POS,5,
Sản phẩm ok.,POS,4,
Ra ngoài quày kem bắt còn trả thêm 1 lần tiền nữa.,NEU,3,
"Form body, vải mịn đẹp, giá hạt dẻ.",POS,5,
Chất lượng sản phẩm tuyệt vời.,POS,5,
❤️.,POS,4,
Cám ơn shop nhiều nhé❤❤❤.,POS,4,
Áo rất đẹp.,POS,5,
Kẹp đuôi khỉ thì bị gãy và bàn chải thì ko xài dc pin.,NEG,1,
So vs giá tạm chấp nhận dc.,NEU,3,
"Chờ đợi hàng mỏi mòn, nhận được váy không có khoá đằng sau.",NEG,1,
"Shop giao mình màu ko giống mẫu, mẫu caro vàng trắng còn của mình thì caro vàng xám, buồn thật.",NEU,3,
Thời gian giao hàng lâu hơn shop đã nói.,NEU,3,
Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Thời gian giao hàng rất nhanh nhưng hàg bikini mà đóg gói k kính đáo gj het ah.,POS,4,
Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh.,POS,5,
Áo đã bẩn còn lỗi chỉ.,NEG,1,
Nói chung là ok.,NEU,3,
Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời.,POS,5,
Bao bì gói cẩn thận.,NEU,3,
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Rất đáng tiền.,POS,5,
Đẹp thật ý hàng QC chứ k hàng VN ạ 5* cho chất lượng.,POS,5,
"Shop Đóng gói sản phẩm kém, Không đáng tiền.",NEG,2,
"Hàng đẹp, shop giao nhanh, e shipper dễ thương.",POS,5,
Áo quá rẻ và đẹp.,POS,5,
Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.,POS,5,
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Rất đáng tiền Shop phục vụ rất tốt.,POS,5,
Hàng đẹp hơn ảnh.,POS,5,
Áo đẹp from rộng chất vải rất là đẹp luôn ý 😍😍 sẽ ủng hộ shop lâu dài.,POS,5,
Giày nhìn chuẩn đẹp!,POS,5,
Ao đẹp lam shop e se ung ho them.,POS,5,
"Vải đẹp, màu đẹp, áo đẹp.",POS,5,
Chất lượng sản phẩm ok.,POS,4,
Sẽ tiếp tục ủng hộ shop.,POS,4,
"Mô hình captain american màu sắt đẹp, chất nhựa cứng ko giống iron man đỏ lúc đầu mua của shop.",POS,4,
May nhỏ xay k duoc.,NEG,1,
Vải bình thường.tiền nào vải ấy.k sai.,NEU,3,
Chất bt k dày dễ xù lông sau giặt.,NEG,2,
Chưa sử dụng nhưng vẫn cho 5* vì giao hàng nhanh.,POS,5,
Đóng gói sp đẹp mắt.,POS,4,
"Chất lượng sản phẩm tuyệt vời.Sản phẩm như hình .Vải mát, đường may cẩn thận.",POS,5,
cảm ơn shop!,POS,4,
"Tuy nhiên mua giá rẻ hơn bình thường mà vẫn được ăn mức 229k (menu có 3 mức giá, này là mức thứ 2).",POS,4,
Sản phẩm nhận được khá là ok.,POS,4,
Song nhân viên hơi thiếu nhiệt tình khi tư vấn cho khách.,NEU,3,
Áo đẹp lắm ạ.,POS,5,
Vải hơi mỏng.,NEU,3,
Áo hơi mỏng size áo bé chỉ người bé mới mặc vừa.,NEU,3,
"Shop rất nhiệt tình và rep inbox siêu nhanh, lần sau mình sẽ ủng hộ tiếp.",POS,5,
Shop phục vụ rất tốt.,NEU,3,
Chất lượng sản phẩm tuyệt vời.váy đẹp rẻ.,POS,5,
Trừ 1 sao.,NEU,3,
Sẽ mua lại khi cần ^^.,POS,5,
Chăn mịn mềm ko bị rụng lông.,POS,5,
Shop phục vụ rất tốt Thời gian giao hàng rất nhanh hơi nhăn nhưg khá ok.,POS,4,
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng rất nhanh.,POS,5,
Mà mua của shop xong qua shop kia coi bán có 95k 1 áo thôi ạ.,NEG,2,
"Áo đẹp so với giá, nhưng size hơi nhỏ.",POS,4,
Mùi chanh hay nhất.,NEU,3,
Thường khi mua đôi này size 39 vừa y với chân luôn.. nhưng hôm nay size giày 39 mà như size 40.. quá rộng luôn... bạn nào muốn mua giày nhớ hỏi shop chiều dài của giày nha.,NEG,1,
"Cây này màu đen nha,rất chắc chắn.",POS,4,
"Chán, Trước khi mua thì kiến đầy, Mua về chưa dùng thì kiến nó trốn hết. =)) Chắc nó ngửi thấy mùi SP.",NEG,1,
Màu bạc k giống hình.,NEG,2,
"Do có cái hình cũng màu đỏ, trùng nền ko nổi 😂😂😂.",POS,4,
"SẢN PHẨM RẤT TỐT, CHỦ SHOP ĐÁNG IU.",POS,5,
Rất không đáng tiền Rất không đáng tiền.,NEG,1,
"Chất lượng sản phẩm kém form áo nhỏ,không giống hình,chất vải nỉ mỏng,mịn.",NEG,1,
Vải ok.,POS,5,
Chất lượng sản phẩm tuyệt vời 👍.,POS,5,
Áo thun phông cổ tròn vải dày.,POS,4,
I Love Jenny 💋.,POS,5,
Mã giảm giá k nhập được nên hơi hụt hẫng.,NEU,3,
Đóng gói bị rất lồi cả bỉm ra ngoài.,NEG,2,
Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,
Ko đúng với size áo thông thường đâu. ...,NEG,2,
Áo giống hình nhưng chất vải là phi bóng.,POS,4,
Hộp màu bị méo và hơi rách.,NEU,3,
Quá thất vọng...,NEG,1,
Rất đẹp luôn hê hê.,POS,5,
Nếu có thể sẽ mua tiếp 1 nữa!,POS,5,
Giá tiền phù hợp với chất lượng.,POS,4,
Hàng chất đẹp .,POS,5,
"váy chất mát, mặc thích lắm ạ.",POS,5,
Vải đẹp đường may cũng rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Shop phục vụ rất tốt.,POS,5,
Mình đánh giá 1 sao vì trước khi gửi hàng shop không kiểm tra sản phẩm :>.,NEG,1,
Đóng gói xấu!,NEG,2,
Mong được đổi.,NEG,2,
"Chất vải đẹp, dáng khá đẹp.",POS,5,
3 Shop phục vụ rất kém.,NEU,3,
Chất lượng sản phẩm tuyệt vời.,POS,5,
Cho cô chủ 5* vì rất chu đáo với khách hàng lại còn có quà nữa.,POS,5,
"Rất đáng tiền,sản phẩm shop rẻ mà đẹp nữa chứ.",POS,5,
Đóng gói sản phẩm rất đẹp và chắc chắn!,POS,5,
"Chất lượng sản phẩm tuyệt vời : áo không dày không mỏng, mặc mát, giống hình 90%, form nhỏ _ eo < 65cm, < 50kg mặc vừa.",POS,5,
Áo quá mỏng lun 😂😂.,NEU,3,
Áo màu này ở ngoài màu đậm hơn k đẹp.,NEU,3,
Với giá tiền như vậy thì chất lượng vậy là chấp nhận được.,POS,4,
"Quan chat cai dui va mong wa,size cua shop chat hon kich co nguoi mac.",NEG,2,
Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,4,
Shop phục vụ khá tốt Chất lượng sản phẩm tuyệt vời.,POS,4,
Chất lượng oke lắm.,POS,4,
Vải mỏng mà mịn đóg gói tạm được.,POS,4,
Nhưng hơi thất vọng.,NEG,2,
Tất cả điều ok trừ Áo hai dây là kh ưng xíu nào!!,NEU,3,
Mặc rất thích và thoải mái.,POS,5,
Nhìn như cũ.,NEG,2,
